ts,active_sessions,cpu,io_file,io_table,lock,synch,other
1785276260.11,1,1,0,0,0,0,0
1785276260.21,0,0,0,0,0,0,0
1785276260.31,0,0,0,0,0,0,0
1785276260.41,0,0,0,0,0,0,0
1785276260.51,4,3,0,0,0,0,1
1785276260.61,2,2,0,0,0,0,0
1785276260.71,0,0,0,0,0,0,0
1785276260.81,1,1,0,0,0,0,0
1785276260.92,0,0,0,0,0,0,0
1785276261.02,2,1,0,0,0,0,1
1785276261.12,0,0,0,0,0,0,0
1785276261.22,0,0,0,0,0,0,0
1785276261.32,0,0,0,0,0,0,0
1785276261.42,0,0,0,0,0,0,0
1785276261.52,1,1,0,0,0,0,0
1785276261.62,0,0,0,0,0,0,0
1785276261.72,0,0,0,0,0,0,0
1785276261.82,0,0,0,0,0,0,0
1785276261.92,1,1,0,0,0,0,0
1785276262.02,1,1,0,0,0,0,0
1785276262.12,0,0,0,0,0,0,0
1785276262.23,4,3,0,0,0,0,1
1785276262.33,0,0,0,0,0,0,0
1785276262.43,1,0,0,0,0,0,1
1785276262.53,0,0,0,0,0,0,0
1785276262.63,0,0,0,0,0,0,0
1785276262.73,0,0,0,0,0,0,0
1785276262.83,1,1,0,0,0,0,0
1785276262.93,0,0,0,0,0,0,0
1785276263.03,0,0,0,0,0,0,0
1785276263.13,3,2,0,0,0,0,1
1785276263.23,2,2,0,0,0,0,0
1785276263.33,1,1,0,0,0,0,0
1785276263.44,1,0,0,0,0,0,1
1785276263.54,0,0,0,0,0,0,0
1785276263.64,1,1,0,0,0,0,0
1785276263.74,0,0,0,0,0,0,0
1785276263.84,2,1,0,1,0,0,0
1785276263.94,0,0,0,0,0,0,0
1785276264.04,0,0,0,0,0,0,0
1785276264.14,1,1,0,0,0,0,0
1785276264.24,0,0,0,0,0,0,0
1785276264.34,1,0,0,0,0,0,1
1785276264.45,0,0,0,0,0,0,0
1785276264.55,1,1,0,0,0,0,0
1785276264.65,0,0,0,0,0,0,0
1785276264.75,0,0,0,0,0,0,0
1785276264.85,1,1,0,0,0,0,0
1785276264.95,1,0,0,0,0,0,1
1785276265.05,0,0,0,0,0,0,0
1785276265.15,0,0,0,0,0,0,0
1785276265.25,1,1,0,0,0,0,0
1785276265.35,0,0,0,0,0,0,0
1785276265.45,0,0,0,0,0,0,0
1785276265.55,1,1,0,0,0,0,0
1785276265.65,0,0,0,0,0,0,0
1785276265.75,1,0,0,0,0,0,1
1785276265.85,0,0,0,0,0,0,0
1785276265.95,1,1,0,0,0,0,0
1785276266.06,0,0,0,0,0,0,0
1785276266.16,0,0,0,0,0,0,0
1785276266.26,0,0,0,0,0,0,0
1785276266.36,0,0,0,0,0,0,0
1785276266.46,0,0,0,0,0,0,0
1785276266.56,1,0,0,0,0,0,1
1785276266.66,0,0,0,0,0,0,0
1785276266.76,0,0,0,0,0,0,0
1785276266.86,2,2,0,0,0,0,0
1785276266.96,0,0,0,0,0,0,0
1785276267.06,0,0,0,0,0,0,0
1785276267.17,3,3,0,0,0,0,0
1785276267.27,1,0,0,0,0,0,1
1785276267.37,0,0,0,0,0,0,0
1785276267.47,1,1,0,0,0,0,0
1785276267.57,3,1,0,0,0,0,2
1785276267.67,1,1,0,0,0,0,0
1785276267.77,2,1,0,0,0,0,1
1785276267.87,3,2,0,0,0,0,1
1785276267.97,1,1,0,0,0,0,0
1785276268.08,1,0,0,0,1,0,0
1785276268.18,0,0,0,0,0,0,0
1785276268.28,0,0,0,0,0,0,0
1785276268.38,0,0,0,0,0,0,0
1785276268.48,0,0,0,0,0,0,0
1785276268.58,0,0,0,0,0,0,0
1785276268.68,1,0,0,0,0,0,1
1785276268.78,1,1,0,0,0,0,0
1785276268.88,1,1,0,0,0,0,0
1785276268.98,1,1,0,0,0,0,0
1785276269.08,3,1,0,0,0,0,2
1785276269.19,0,0,0,0,0,0,0
1785276269.29,0,0,0,0,0,0,0
1785276269.39,0,0,0,0,0,0,0
1785276269.49,0,0,0,0,0,0,0
1785276269.59,0,0,0,0,0,0,0
1785276269.69,1,0,0,0,0,0,1
1785276269.79,0,0,0,0,0,0,0
1785276269.89,1,0,0,1,0,0,0
1785276269.99,0,0,0,0,0,0,0
1785276270.09,0,0,0,0,0,0,0
1785276270.19,1,1,0,0,0,0,0
1785276270.29,1,1,0,0,0,0,0
1785276270.40,1,0,0,0,0,0,1
1785276270.50,0,0,0,0,0,0,0
1785276270.60,1,1,0,0,0,0,0
1785276270.70,3,1,0,0,0,0,2
1785276270.80,0,0,0,0,0,0,0
1785276270.90,1,1,0,0,0,0,0
1785276271.00,0,0,0,0,0,0,0
1785276271.10,0,0,0,0,0,0,0
1785276271.20,2,1,0,1,0,0,0
1785276271.30,0,0,0,0,0,0,0
1785276271.40,1,1,0,0,0,0,0
1785276271.50,0,0,0,0,0,0,0
1785276271.60,0,0,0,0,0,0,0
1785276271.70,0,0,0,0,0,0,0
1785276271.80,0,0,0,0,0,0,0
1785276271.90,0,0,0,0,0,0,0
1785276272.01,1,0,0,1,0,0,0
1785276272.10,0,0,0,0,0,0,0
1785276272.21,1,1,0,0,0,0,0
1785276272.31,1,1,0,0,0,0,0
1785276272.41,1,1,0,0,0,0,0
1785276272.51,1,1,0,0,0,0,0
1785276272.61,0,0,0,0,0,0,0
1785276272.71,3,1,0,0,0,0,1
1785276272.81,1,0,0,1,0,0,0
