ts,seq,amount
1785275571.966,829,10000
1785275571.989,830,3000
1785275572.019,831,30000
1785275572.043,832,3000
1785275572.070,833,10000
1785275572.099,834,30000
1785275572.126,835,5000
1785275572.156,836,30000
1785275572.183,837,10000
1785275572.208,838,1000
1785275572.234,839,5000
1785275572.257,840,30000
1785275572.284,841,3000
1785275572.310,842,1000
1785275572.334,843,3000
1785275572.359,844,1000
1785275572.385,845,1000
1785275572.411,846,3000
1785275572.437,847,30000
1785275572.460,848,10000
1785275572.488,849,10000
1785275572.515,850,3000
1785275572.545,851,10000
1785275572.571,852,10000
1785275572.601,853,10000
1785275572.627,854,30000
1785275572.651,855,10000
1785275572.678,856,10000
1785275572.708,857,30000
1785275572.735,858,10000
1785275572.761,859,10000
1785275572.791,860,5000
1785275572.818,861,1000
1785275572.845,862,1000
1785275572.874,863,5000
1785275572.902,864,10000
1785275572.929,865,3000
1785275572.957,866,3000
1785275572.984,867,30000
1785275573.015,868,1000
1785275573.043,869,10000
1785275573.073,870,3000
1785275573.105,871,30000
1785275573.133,872,30000
1785275573.161,873,1000
1785275573.189,874,30000
1785275573.217,875,1000
1785275573.246,876,5000
1785275573.272,877,5000
1785275573.295,878,5000
1785275573.322,879,3000
1785275573.349,880,10000
1785275573.376,881,5000
1785275573.403,882,30000
1785275573.431,883,10000
1785275573.460,884,10000
1785275573.485,885,10000
1785275573.513,886,30000
1785275573.541,887,30000
1785275573.568,888,5000
1785275573.598,889,5000
1785275573.629,890,5000
1785275573.659,891,3000
1785275573.685,892,10000
1785275573.715,893,3000
1785275573.743,894,3000
1785275573.772,895,10000
1785275573.797,896,10000
1785275573.827,897,5000
1785275573.858,898,5000
1785275573.886,899,1000
1785275573.915,900,3000
1785275573.943,901,3000
1785275573.969,902,10000
1785275573.995,903,1000
1785275574.023,904,3000
1785275574.048,905,30000
1785275574.074,906,5000
1785275574.098,907,1000
1785275574.127,908,5000
1785275574.157,909,1000
1785275574.184,910,5000
1785275574.213,911,1000
1785275574.241,912,5000
1785275574.274,913,3000
1785275574.304,914,3000
1785275574.332,915,10000
1785275574.359,916,3000
1785275574.382,917,5000
1785275574.410,918,10000
1785275574.437,919,30000
1785275574.461,920,30000
1785275574.487,921,5000
1785275574.512,922,5000
1785275574.539,923,3000
1785275574.568,924,30000
1785275574.594,925,3000
1785275574.624,926,30000
1785275574.652,927,10000
1785275574.701,928,FAILED:2013
